,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
78,77-29 249th St,"Bellerose, NY 11426",698888,1,,,3.0,2.0,2.0,,,,Private,,1950.0,,Residential,Single Family Residence,,A,Active,,3291062,,Queens 26,,Queens 26,,Queens 26,0.06,8502,33,Q08502-0033,6333.0
79,140-16 135th Ave,"Jamaica, NY 11436",30000,99,,,,,,,,,,,,,Land,Unimproved Land,,A,Active,,3229189,,Queens 27,,Queens 27,,Queens 27,0.91,,,,7200.0
80,104-20 68th Dr #AA3,"Forest Hills, NY 11375",375000,10,,,2.0,1.0,1.0,,,,Garage,,1956.0,,Residential,Stock Cooperative,,A,Active,,3289089,Ps 196 Grand Central Parkway,Queens 28,Jhs 157 Stephen A Halsey,Queens 28,,Queens 28,,,,,
81,7311 69th Ave,"Flushing, NY 11379",699900,3,,,2.0,2.0,2.0,,Hardwood,1.0,"Private,Attached,Driveway,Garage",,1940.0,,Residential,Single Family Residence,,A,Active,,3290698,,Queens 24,,Queens 24,,Queens 24,0.05,3785,44,,6164.0
82,107-40 Watson,"Jamaica, NY 11433",510000,1,,,2.0,2.0,2.0,,Hardwood,,"Private,Common",,1950.0,,Residential,Single Family Residence,,A,Active,,3291257,,Queens 28,,Queens 28,,Queens 28,0.04,10251,26,Q10251-0026,3163.0
83,155-01 90th Ave #3N,"Jamaica, NY 11432",175000,3,,,1.0,1.0,1.0,,Hardwood,,,,1941.0,,Residential,Stock Cooperative,,A,Active,,3290845,Ps 182 Samantha Smith,Queens 28,Jhs 217 Robert A Van Wyck,Queens 28,,Queens 28,,9755,50,,
84,8916 201st St,"Hollis, NY 11423",749000,1,,,4.0,3.0,3.0,,,2.0,"Private,Detached",,1925.0,,Residential Income,Multi Family,,A,Active,,3291292,Ps 134 Hollis,Queens 29,,Queens 29,,Queens 29,0.06,,,,5890.0
85,22414 Edmore Ave,"Queens Village, NY 11428",774999,1,,,,,,,,,Garage Detached,,1925.0,,Single Family Home,,,,,,,,,,,,,,,,,
86,23-32 36th St,"Astoria, NY 11105",998500,1,,,3.0,2.0,2.0,,,,"None,On Street",,1930.0,,Residential Income,Multi Family,,A,Active,,3291091,Ps 84 Steinway,Queens 30,Is 141 Steinway (The),Queens 30,,Queens 30,0.05,820,151,Q00820-0151,6940.0
87,78-17 86th St,"Ridgewood, NY 11385",849000,5,,,3.0,2.0,1.0,,Hardwood,1.0,"Shared Driveway,Detached,On Street",,1920.0,,Residential,Single Family Residence,,A,Active,,3290390,Ps/Is 113 Anthony J Pranzo,Queens 24,,Queens 24,,Queens 24,0.06,3845,29,Q03845-0029,6661.0
88,91-30 184th St,"Hollis, NY 11423",1400000,1,,,6.0,5.0,5.0,,,,"Private,Driveway",,2021.0,,Residential Income,Multi Family,,A,Active,,3291154,,Queens 29,,Queens 29,,Queens 29,0.07,9903,66,,3800.0
89,16433 83rd St,"Jamaica, NY 11414",2399000,50,,,6.0,5.0,3.0,,Hardwood,1.0,"Private,Attached,Driveway",,2010.0,,Residential,Single Family Residence,,A,Active,,3279259,Ps 207 Rockwood Park,Queens 27,Jhs 202 Robert H Goddard,Queens 27,,Queens 27,0.18,14077,63,Q14077-0063,14402.0
90,11560 198th St,"Jamaica, NY 11412",679999,180,,,,,,,,,Garage Detached,,1940.0,,Single Family Home,,,,,,10647526,,,,,,,,,,,
91,3 Point Cres,"Malba, NY 11357",5488000,99,,,7.0,10.0,9.0,,Hardwood,4.0,"Private,Attached",,1995.0,,Residential,Single Family Residence,,A,Active,,3082485,,Queens 25,,Queens 25,,Queens 25,0.4,4416,7,Q04416-0007,23000.0
92,60-77 59th Dr,"Maspeth, NY 11378",669000,1,,,2.0,2.0,1.0,,,,Shared Driveway,,1925.0,,Residential,Single Family Residence,,A,Active,,3229195,Ps 153 Maspeth Elementary,Queens 24,,Queens 24,,Queens 24,0.06,2741,42,Q02741-0042,4001.0
93,10710 142nd St,"Jamaica, NY 11435",370000,180,,,,,,,,,,,1920.0,,Single Family Home,,,,,,10916057,,,,,,,,,,,
94,60-11 Broadway #4R,"Woodside, NY 11377",329000,180,,,,,,,,,,,1962.0,,Coop,,,,,,S1469873,,,,,,,,,,,
95,28-54 216th St,"Bayside, NY 11360",1150000,3,,,3.0,3.0,2.0,,Hardwood,2.0,"Private,Attached,Driveway,Garage,Off Street",,1960.0,,Residential,Single Family Residence,,A,Active,,3290736,,Queens 26,,Queens 26,,Queens 26,0.15,6018,64,Q06018-0064,11166.0
96,14787 Brookville Blvd,"Jamaica, NY 11422",350000,47,,,4.0,2.0,2.0,,,,Private,,1950.0,,Residential Income,Multi Family,,A,Active,,3280774,,Queens 29,,Queens 29,,Queens 29,0.06,13742,2,Q13742-0002,7200.0
