,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
158,92-25 215th Pl,"Queens Village, NY 11428",579000,3,,,3.0,2.0,2.0,,,1.0,"Private,Detached",,1930.0,,Residential,Single Family Residence,,A,Active,,3290794,,Queens 29,,Queens 29,,Queens 29,0.05,10632,56,Q10632-0056,4760.0
159,10465 Springfield Blvd,"Jamaica, NY 11429",500000,146,,,,,,,,,Garage Detached,,2007.0,,Single Family Home,,,,,,10944125,,,,,,,,,,,
160,58-41 79th Ave,"Ridgewood, NY 11385",799000,1,,,3.0,3.0,1.0,,Hardwood,1.0,"Private,Detached,Driveway,Garage",,1920.0,,Residential,Single Family Residence,,A,Active,,3291183,,Queens 24,,Queens 24,,Queens 24,0.06,3570,63,Q03570-0063,3996.0
161,7344 177th St,"Fresh Meadows, NY 11366",1088000,6,,,,,,,,,,,1945.0,,Single Family Home,,,,,,,,,,,,,,,,,
162,35-27 81st St #1K,"Jackson Heights, NY 11372",475000,1,,,,,,,,,None,,1930.0,,Coop,,,,,,,,,,,,,,,,,
163,35-20 Leverich St #A503,"Jackson Heights, NY 11372",549000,1,,,1.0,1.0,1.0,,,,,,1964.0,,Residential,Condominium,,A,Active,,3291237,,Queens 30,,Queens 30,,Queens 30,,1270,1017,,3515.0
164,68-69 218th St #2,"Oakland Gardens, NY 11364",319998,1,,,,,,,,,,,1914.0,,Coop,,,,,,,,,,,,,,,,,
165,89-16 199th St,"Hollis, NY 11423",924900,1,,,3.0,3.0,2.0,,Hardwood,,"Private,Driveway,On Street",,1925.0,,Residential,Single Family Residence,,A,Active,,3291088,Ps 35 Nathaniel Woodhull,Queens 29,,Queens 29,,Queens 29,0.06,10487,44,Q10487-0044,5094.0
166,144-60 Gravett Rd #1J,"Flushing, NY 11367",125000,21,,,1.0,1.0,1.0,,,,Parking Lot,,1955.0,,Residential,Stock Cooperative,,A,Active,,3286683,,Queens 25,,Queens 25,,Queens 25,,,,,
167,6210 Woodside Ave #304,"Woodside, NY 11377",629000,1,,,2.0,1.0,1.0,,,,,,1927.0,,Residential,Condominium,,A,Active,,3291101,Ps 152 Gwendoline N Alleyne,Queens 30,,Queens 30,,Queens 30,,,,,3601.0
168,90-59 56th Ave #2,"Elmhurst, NY 11373",635000,5,,,,,,,,,,,1962.0,,Coop,,,,,,,,,,,,,,,,,
169,110-14 69th Rd,"Forest Hills, NY 11375",4599000,99,,,7.0,7.0,5.0,,Hardwood,2.0,"Private,Detached,On Street",,2012.0,,Residential,Single Family Residence,,A,Active,,3246430,,Queens 24,,Queens 24,,Queens 24,0.23,2230,12,Q02230-0012,33932.0
170,5607 196th St,"Flushing, NY 11365",770000,99,,,3.0,1.0,1.0,,,1.0,"Private,Detached",,1945.0,,Residential,Single Family Residence,,A,Active,,3255752,,Queens 26,,Queens 26,,Queens 26,0.09,5683,57,,8224.0
171,42-83 Hunter St #2A,"Long Island City, NY 11101",795000,2,,,,,,,,,,,2017.0,,Condo,,,,,,,,,,,,,,,,,
172,32 Boulevard,"Malba, NY 11357",8988000,99,,,6.0,6.0,5.0,,Hardwood,3.0,"Private,Attached,Driveway,Garage,Off Street,On Street,Tandem",,2009.0,,Residential,Single Family Residence,,A,Active,,3254581,Ps 79 Francis Lewis,Queens 25,Jhs 194 William Carr,Queens 25,,Queens 25,0.18,4430,17,Q04430-0017,29094.0
173,2343 100th St,"Flushing, NY 11369",899000,36,,,,,,,,,,,1950.0,,Single Family Home,,,,,,,,,,,,,,,,,
174,140-23 181st St,"Springfield Gardens, NY 11413",970000,1,,,6.0,5.0,5.0,,Hardwood,1.0,"Private,Detached",,1925.0,,Residential Income,Multi Family,,A,Active,,3272148,,Queens 29,,Queens 29,,Queens 29,0.09,13039,26,Q13039-0026,8440.0
175,64-34 102nd St #7M,"Rego Park, NY 11374",285000,1,,,1.0,1.0,1.0,,,,,,1952.0,,Residential,Stock Cooperative,,A,Active,,3291103,Ps 175 Lynn Gross Discovery (The),Queens 28,Jhs 157 Stephen A Halsey,Queens 28,,Queens 28,,,,,
176,8080 Cypress Ave,"Glendale, NY 11385",550000,99,,,3.0,1.0,1.0,,Hardwood,,Private,,1935.0,,Residential,Single Family Residence,,A,Active,,3238106,,Queens 24,,Queens 24,,Queens 24,0.06,,,,1424.0
177,64-33 184th St,"Fresh Meadows, NY 11365",880000,9,,,3.0,1.0,1.0,,,,Private,,1950.0,,Residential,Single Family Residence,,A,Active,,3289183,,Queens 26,,Queens 26,,Queens 26,0.09,,,,9044.0
178,67-35 223rd Pl #A,"Oakland Gardens, NY 11364",349000,1,,,2.0,1.0,1.0,,,,"Common,Garage,Parking Lot,Off Street,On Street",,1960.0,,Residential,Stock Cooperative,,A,Active,,3290966,Ps 213 Carl Ullman School (The),Queens 26,Jhs 74 Nathaniel Hawthorne,Queens 26,,Queens 26,,,,,
179,24-43 32nd St #A,"Astoria, NY 11102",1085000,5,,,,,,,,,,,1935.0,,Townhouse,,,,,,,,,,,,,,,,,
180,76-26 266th St,"New Hyde Park, NY 11040",1249000,74,,,4.0,4.0,3.0,,Hardwood,,"Private,On Street",,2020.0,,Residential,Single Family Residence,,A,Active,,3276059,,Floral Park-Bellerose,,Floral Park-Bellerose,,Floral Park-Bellerose,0.09,8539,17,Q08539-0017,7596.0
181,2029 29th St,"Long Island City, NY 11105",1395000,39,,,,,,,,,,,1940.0,,Single Family Home,,,,,,,,,,,,,,,,,
182,226-15 130th Ave,"Springfield Gardens, NY 11413",665000,11,,,4.0,2.0,2.0,,Hardwood,1.0,"Private,Attached,Covered,Driveway",,1950.0,,Residential,Single Family Residence,,A,Active,,3288911,,Queens 29,,Queens 29,,Queens 29,0.08,12855,161,Q12855-0161,5300.0
183,155-12 115th Dr,"Jamaica, NY 11434",569000,7,,,3.0,2.0,2.0,,,,"Private,Driveway",,1920.0,,Residential,Single Family Residence,,A,Active,,3289692,,Queens 29,,Queens 29,,Queens 29,0.05,,,,3532.0
184,142-15 13th Ave,"Whitestone, NY 11357",3480000,11,,,6.0,6.0,5.0,,Hardwood,2.0,"Private,Attached",,2004.0,,Residential,Single Family Residence,,A,Active,,3288971,,Queens 25,,Queens 25,,Queens 25,0.26,4434,155,,18800.0
185,59-11 Queens Blvd #4D,"Woodside, NY 11377",399000,2,,,,,,,,,,,1931.0,,Coop,,,,,,,,,,,,,,,,,
186,14-02 Bell Blvd #223,"Bayside, NY 11360",475000,7,,,2.0,2.0,1.0,,,,Assigned,,1952.0,,Residential,Stock Cooperative,,A,Active,,3289778,Ps 169 Bay Terrace,Queens 25,Bell Academy,Queens 25,,Queens 25,,,,,
187,227-23 88th Ave,"Queens Village, NY 11427",239900,24,,,2.0,1.0,1.0,,,,Waitlist,,1950.0,,Residential,Stock Cooperative,,A,Active,,3286013,,Queens 26,,Queens 26,,Queens 26,,,,,
188,7015 Manse St,"Flushing, NY 11375",950000,13,,,3.0,2.0,2.0,,Hardwood,2.0,"Private,Detached,Garage",,1930.0,,Residential,Single Family Residence,,A,Active,,3288528,Ps 144 Col Jeromus Remsen,Queens 28,Jhs 190 Russell Sage,Queens 28,,Queens 28,0.07,3223,,,8414.0
189,75-24 Bell Blvd #5A,"Oakland Gardens, NY 11364",580000,8,,,2.0,2.0,2.0,,Hardwood,,"Garage,Parking Lot",,1962.0,,Residential,Stock Cooperative,,A,Active,,3289516,Ps 205 Alexander Graham Bell,Queens 26,Jhs 74 Nathaniel Hawthorne,Queens 26,,Queens 26,,,,,
